order_id,customer_id,product_id,customer_name,segment,category,sub_category,amount,profit,quantity,order_date,ship_date,ship_mode,payment_mode,country,city,state
CA-2018-115812,BH-11710,FUR-TA-10001539,Uudhav,Consumer,Clothing,Hankerchief,231,-190,9,6/9/2018,6/14/2018,Second Class,COD,United States,Henderson,Kentucky
CA-2018-115812,BH-11710,TEC-PH-10002033,Shreyshi,Consumer,Electronics,Printers,2125,-234,6,6/9/2018,6/14/2018,Second Class,EMI,United States,Henderson,Kentucky
CA-2021-114412,AA-10480,OFF-PA-10002365,Bhishm,Consumer,Electronics,Phones,3873,-891,6,4/15/2021,4/20/2021,Standard Class,Credit Card,United States,Los Angeles,California
CA-2020-161389,IM-15070,OFF-BI-10003656,Yogesh,Consumer,Furniture,Bookcases,729,-492,5,12/5/2020,12/10/2020,Standard Class,UPI,United States,Fort Lauderdale,Florida
US-2019-118983,HP-14815,OFF-AP-10002311,Lalita,Home Office,Furniture,Bookcases,2188,1050,5,11/22/2019,11/26/2019,Standard Class,Credit Card,United States,Fort Lauderdale,Florida
US-2019-118983,HP-14815,OFF-BI-10000756,Madhav,Home Office,Clothing,Hankerchief,6,-3,1,11/22/2019,11/26/2019,Standard Class,UPI,United States,Los Angeles,California
CA-2018-105893,PK-19075,OFF-ST-10004186,Vishakha,Consumer,Furniture,Bookcases,1854,433,5,11/11/2018,11/18/2018,Standard Class,Credit Card,United States,Los Angeles,California
CA-2018-167164,AG-10270,OFF-ST-10000107,Rohan,Consumer,Clothing,Kurti,6,1,1,5/13/2018,5/15/2018,Standard Class,UPI,United States,Los Angeles,California
CA-2018-143336,ZD-21925,OFF-AR-10003056,Gaurav,Consumer,Furniture,Chairs,2093,721,5,8/27/2018,9/1/2018,Standard Class,Credit Card,United States,Los Angeles,California
CA-2018-143336,ZD-21925,TEC-PH-10001949,Amol,Consumer,Clothing,Skirt,7,-1,2,8/27/2018,9/1/2018,Standard Class,UPI,United States,Los Angeles,California
CA-2018-143336,ZD-21925,OFF-BI-10002215,Aastha,Consumer,Furniture,Tables,1622,-624,5,8/27/2018,9/1/2018,Standard Class,Credit Card,United States,Los Angeles,California
CA-2020-137330,KB-16585,OFF-AR-10000246,Madan Mohan,Corporate,Electronics,Printers,1622,95,5,12/9/2020,12/13/2020,Standard Class,Credit Card,United States,Los Angeles,California
CA-2020-137330,KB-16585,OFF-AP-10001492,Pooja,Corporate,Electronics,Printers,373,254,6,12/9/2020,12/13/2020,Standard Class,UPI,United States,Concord,North Carolina
US-2021-156909,SF-20065,FUR-CH-10002774,Shrichand,Consumer,Clothing,Kurti,82,-33,4,7/16/2021,7/18/2021,Standard Class,COD,United States,Seattle,Washington
CA-2019-106320,EB-13870,FUR-TA-10000577,Hitesh,Consumer,Clothing,Skirt,8,2,2,9/25/2019,9/30/2019,Standard Class,UPI,United States,Fort Worth,Texas
CA-2020-121755,EH-13945,OFF-BI-10001634,Shourya,Consumer,Electronics,Phones,1954,782,3,1/16/2020,1/20/2020,Standard Class,Credit Card,United States,Fort Worth,Texas
CA-2020-121755,EH-13945,TEC-AC-10003027,Ishpreet,Consumer,Electronics,Printers,1543,370,8,1/16/2020,1/20/2020,Second Class,Credit Card,United States,Madison,Wisconsin
